Number,Level,Vocabulary,Wordclass,Guide
588,4급,드러나다,동사,사실이 드러나다
589,4급,드러내다,동사,본색을 드러내다
590,4급,드물다,형용사,인적이 드물다
591,4급,든든하다,형용사,든든한 기분
592,4급,들려오다,동사,소식이 들려오다
593,4급,들리다01,동사,감기에 들리다
594,4급,들리다03,동사,손에 들린 책
595,4급,들여다보다,동사,안을 들여다보다
596,4급,들이다,동사,손님을 들이다
597,4급,들키다,동사,몰래 하다가 들키다
598,4급,등기,명사,등기 서류
599,4급,등장,명사,주인공의 등장
600,4급,디자이너,명사,패션 디자이너
601,4급,따님,명사,둘째 따님
602,4급,따라다니다,동사,졸졸 따라다니다
603,4급,따르다02,동사,물을 따르다
604,4급,따지다,동사,원인을 따지다
605,4급,딴02,관형사,딴 생각
606,4급,땅바닥,명사,땅바닥에 내려놓다
607,4급,땅콩,명사,고소한 땅콩
608,4급,때02,명사,때가 타다
609,4급,때로,부사,때로는 한계를 느끼다
610,4급,때리다,동사,종아리를 때리다
611,4급,떠나오다,동사,집을 떠나오다
612,4급,떼01,명사,떼를 지어 다니다
613,4급,떼다,동사,스티커를 떼다
614,4급,또다시,부사,또다시 반복하다
615,4급,똥,명사,똥을 싸다
616,4급,뚜껑,명사,뚜껑을 닫다
617,4급,뚜렷하다,형용사,의식이 뚜렷하다
618,4급,뚫리다,동사,구멍이 뚫리다
619,4급,뛰어나오다,동사,거리로 뛰어나오다
620,4급,뛰어놀다,동사,운동장에서 뛰어놀다
621,4급,뛰어다니다,동사,집안을 뛰어다니다
622,4급,뛰어들다,동사,바다에 뛰어들다
623,4급,뜨다04,동사,물을 뜨다
624,4급,뜯다,동사,봉투를 뜯다
625,4급,뜰01,명사,뜰을 거닐다
626,4급,뜻대로,부사,뜻대로 되다
627,4급,뜻밖,명사,뜻밖의 사실
628,4급,뜻밖에,부사,뜻밖에 마주치다
629,4급,띄다01,동사,눈에 띄다
630,4급,띠01,명사,띠를 매다
631,4급,띠다,동사,허리띠를 띠다
632,4급,량01,명사,작업량
633,4급,렌즈,명사,렌즈를 끼다
634,4급,-력01,접사,경제력
635,4급,-료,접사,통화료
636,4급,리모컨,명사,리모컨으로 켜다
637,4급,리터,의존명사,일 리터
638,4급,마구,부사,마구 때리다
639,4급,마냥01,부사,마냥 기다리다
640,4급,마디,명사,마디가 굵다
641,4급,마땅하다,형용사,마땅한 장소
642,4급,마땅히,부사,마땅히 해야 할 일
643,4급,마련01/마련02,명사/의존명사,용돈 마련
644,4급,마루02,명사,마루를 닦다
645,4급,마무리,명사,마무리를 짓다
646,4급,마약,명사,마약 중독
647,4급,마음가짐,명사,마음가짐을 가지다
648,4급,마음껏,부사,마음껏 쓰다
